county,year,total_households,poverty_households,alice_households,above_alice_households
Mecklenburg,2010,356627,46194,89755,220678
Mecklenburg,2012,365887,51512,97818,216557
Mecklenburg,2014,389047,52719,96778,239550
Mecklenburg,2016,399504,42082,111255,246167
Mecklenburg,2018,418135,42358,118221,257556
Mecklenburg,2019,426313,41012,141259,244042
Mecklenburg,2021,458344,42989,138932,276423
Mecklenburg,2022,472427,45914,137558,288955
Mecklenburg,2023,474611,45185,136658,292768
Mecklenburg,2024,486412,51099,129135,306178
