name1,street1,street2,city,state,zip,zip4,county,phone,website,latitude,longitude,type_facility,payment_accepted,services
A Caring Home Bonnies Home for Youth ,8616 Nations Ford Road,,Charlotte,NC,28217,,Mecklenburg,704-525-2840,https://www.drugrehabcharlotte.com/drug-rehab/NC/Charlotte/A-Caring-Home.htm,35.13976983,-80.89318632,Mental Health,"Cash or Self-Payment, Medicaid, Medicare, State Financed Health Insurance Plan Other Than Medicaid, Private Health Insurance, Military Insurance (e.g., Tricare), Access To Recovery (ATR) Voucher, U.S Department of VA Funds, Sliding Fee Scale, Payment Assistance",
A Caring Home - Mr Bills Place,8612 Nations Ford Road,,Charlotte,NC,28217,,Mecklenburg,704-525-2840,https://mentalhealthrehabs.com/treatment-center/mr-bills-place-charlotte/,,,Mental Health,Medicaid,
Absolute Advocacy LLC - Charlotte,1923 J N Pease Place Suite 102,Suite 102,Charlotte,NC,28262,,Mecklenburg,704-274-2978,https://www.absoluteadvocacy.org,35.3205583,-80.7725568,Substance Use,State Welfare or Child and Family Service Funds,"Substance Use Counseling, Online DWI (Driving While Intoxicated) Assessments & Classes"
Absolute Advocacy LLC - Concord,3 Union Street South,Suite 210,Concord,NC,28025,,Cabarrus,704-215-4095,https://www.absoluteadvocacy.org,35.4104957,-80.5810137,Substance Use,Self-payment,"Substance Use Counseling, Online DWI (Driving While Intoxicated) Assessments & Classes"
Addiction Recovery Medical Services,536 Signal Hill Drive Ext.,,Statesville,NC,28625,4391,Iredell,(704) 872-0234,https://www.medicarelist.com/mental-health/addiction-recovery-medical-services-statesville-nc/,35.802657,-80.851237,Opioid Treatment Programs,"Federal, or any government funding for substance use treatment programs, Medicare, Medicaid, Federal military insurance (e.g., TRICARE), Private health insurance, Cash or self-payment, State-financed health insurance plan other than Medicaid, SAMHSA funding/block grants",
Addiction Recovery Medical Services,536 Signal Hill Drive Extention,,Statesville,NC,28625,,Iredell,704-872-0234 x319,https://www.armscanhelp.com,35.8032413,-80.8512065,Substance Use,"Federal, or any government funding for substance use treatment programs, Medicare, Medicaid, Federal military insurance (e.g., TRICARE), Private health insurance, Cash or self-payment, State-financed health insurance plan other than Medicaid, SAMHSA funding/block grants",
Alexander Youth Network PRTF,6220 Thermal Road,,Charlotte,NC,28211,,Mecklenburg,704-366-8712,https://www.alexanderyouthnetwork.org,35.1581914,-80.7575986,Mental Health,"NC Medicaid Plans(Healthy Blue, Carolina Complete, WellCare, AmeriHealth Caritas) and Commercial Insurance (BCBSNC, United/Optum, Aetna, Magellan, MedCost)
","Mental and Behavioral Health Conditions in Children and Teens (Facility-Based Crisis Care, Residential Treatment, Transition House, Therapeutic Foster Care,  Day Treatment, Intensive Home Care, Multi-Systemic Therapy, Outpatient Therapy, Clinical Assessments, Care Management, 30-Day Assessment Program) "
Amity Medical Group Inc - N Tryon Rd,7945 N Tryon St Suite 112,,Charlotte,NC,28262,3587,Mecklenburg,704- 503-6336,https://www.amitymed.org,35.29693389,-80.7549387,Health Care Centers," Federal, or any government funding for substance use treatment programs, Medicare, Medicaid, Federal military insurance (e.g., TRICARE), Private health insurance, Cash or self-payment, State-financed health insurance plan other than Medicaid, SAMHSA funding/block grants","Behavioral Health, Primary Care and Internal Medicine, Care Support Programs, Financial Support Services, Care Management and Education, Pediatric Care, Respiratory Illness and Wellness, Personalized Services, HIV Care, Tele-Prep"
Amity Medical Group Inc - Randolph Rd,"2300 Randolph Rd, Suite A",,Charlotte,NC,28207,1127,Mecklenburg,704-372-9393,https://www.amitymed.org,35.20548921,-80.81987523,Health Care Centers," Federal, or any government funding for substance use treatment programs, Medicare, Medicaid, Federal military insurance (e.g., TRICARE), Private health insurance, Cash or self-payment, State-financed health insurance plan other than Medicaid, SAMHSA funding/block grants","Behavioral Health, Primary Care and Internal Medicine, Care Support Programs, Financial Support Services, Care Management and Education, Pediatric Care, Respiratory Illness and Wellness, Personalized Services, HIV Care, Tele-Prep"
Amity Medical Group Inc - Harris Blvd,6010 East W.T Harris Blvd,,Charlotte,NC,28215,4084,Mecklenburg,704-208-4134,https://www.amitymed.org,35.23488705,-80.73396843,Health Care Centers," Federal, or any government funding for substance use treatment programs, Medicare, Medicaid, Federal military insurance (e.g., TRICARE), Private health insurance, Cash or self-payment, State-financed health insurance plan other than Medicaid, SAMHSA funding/block grants","Behavioral Health, Primary Care and Internal Medicine, Care Support Programs, Financial Support Services, Care Management and Education, Pediatric Care, Respiratory Illness and Wellness, Personalized Services, HIV Care, Tele-Prep"
