District Name,School Code,School Name,State Board Region,Grade Span,Number of Days Missed Due to Hurricane Helene,Subgroup,The ACT Subtest or Composite,Percent Meeting Benchmark or Standard
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Academically or Intellectually Gifted,ACT composite score of 17 or higher,>95
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,All Students,ACT composite score of 17 or higher,76
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Asian,ACT composite score of 17 or higher,>95
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Black,ACT composite score of 17 or higher,52.9
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Economically Disadvantaged,ACT composite score of 17 or higher,53.2
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,English Learner,ACT composite score of 17 or higher,20
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Female,ACT composite score of 17 or higher,80.5
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Hispanic,ACT composite score of 17 or higher,58.8
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Male,ACT composite score of 17 or higher,71.1
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Two or More Races,ACT composite score of 17 or higher,75
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Not Academically or Intellectually Gifted,ACT composite score of 17 or higher,69.5
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Not Economically Disadvantaged,ACT composite score of 17 or higher,81.2
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Not English Learner,ACT composite score of 17 or higher,78.5
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Not Student with Disabilities,ACT composite score of 17 or higher,77.8
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Students With Disabilities,ACT composite score of 17 or higher,25
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,White,ACT composite score of 17 or higher,82.5
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Academically or Intellectually Gifted,ACT English subtest,92.1
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,All Students,ACT English subtest,57.3
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Asian,ACT English subtest,88.9
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Black,ACT English subtest,27.1
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Economically Disadvantaged,ACT English subtest,33
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,English Learner,ACT English subtest,7.7
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Female,ACT English subtest,64.9
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Hispanic,ACT English subtest,38.8
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Male,ACT English subtest,49.1
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Two or More Races,ACT English subtest,50
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Not Academically or Intellectually Gifted,ACT English subtest,47.7
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Not Economically Disadvantaged,ACT English subtest,63.1
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Not English Learner,ACT English subtest,59.6
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Not Student with Disabilities,ACT English subtest,59.1
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Students With Disabilities,ACT English subtest,9.5
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,White,ACT English subtest,64.9
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Academically or Intellectually Gifted,ACT Math subtest,90.6
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,All Students,ACT Math subtest,51.3
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Asian,ACT Math subtest,63
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Black,ACT Math subtest,22.9
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Economically Disadvantaged,ACT Math subtest,22.5
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,English Learner,ACT Math subtest,7.7
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Female,ACT Math subtest,50.3
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Hispanic,ACT Math subtest,35.3
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Male,ACT Math subtest,52.3
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Two or More Races,ACT Math subtest,43.8
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Not Academically or Intellectually Gifted,ACT Math subtest,40.4
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Not Economically Disadvantaged,ACT Math subtest,58
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Not English Learner,ACT Math subtest,53.3
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Not Student with Disabilities,ACT Math subtest,52.7
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Students With Disabilities,ACT Math subtest,10
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,White,ACT Math subtest,59.4
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Academically or Intellectually Gifted,ACT Reading subtest,89
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,All Students,ACT Reading subtest,53.9
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Asian,ACT Reading subtest,69.2
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Black,ACT Reading subtest,30
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Economically Disadvantaged,ACT Reading subtest,31.8
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,English Learner,ACT Reading subtest,<5
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Female,ACT Reading subtest,58.9
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Hispanic,ACT Reading subtest,31.8
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Male,ACT Reading subtest,48.6
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Two or More Races,ACT Reading subtest,37.5
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Not Academically or Intellectually Gifted,ACT Reading subtest,44.2
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Not Economically Disadvantaged,ACT Reading subtest,59.1
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Not English Learner,ACT Reading subtest,56.4
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Not Student with Disabilities,ACT Reading subtest,55.6
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Students With Disabilities,ACT Reading subtest,9.5
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,White,ACT Reading subtest,62.8
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Academically or Intellectually Gifted,ACT Science subtest,77.2
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,All Students,ACT Science subtest,40.8
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Asian,ACT Science subtest,69.2
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Black,ACT Science subtest,12.9
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Economically Disadvantaged,ACT Science subtest,20
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,English Learner,ACT Science subtest,<5
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Female,ACT Science subtest,39.5
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Hispanic,ACT Science subtest,25.9
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Male,ACT Science subtest,42.1
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Two or More Races,ACT Science subtest,37.5
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Not Academically or Intellectually Gifted,ACT Science subtest,30.6
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Not Economically Disadvantaged,ACT Science subtest,45.6
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Not English Learner,ACT Science subtest,42.4
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Not Student with Disabilities,ACT Science subtest,42.1
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Students With Disabilities,ACT Science subtest,<5
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,White,ACT Science subtest,47.1
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Academically or Intellectually Gifted,All ACT subtest benchmarks (sum of benchmarks met),87.2
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,All Students,All ACT subtest benchmarks (sum of benchmarks met),50.8
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Asian,All ACT subtest benchmarks (sum of benchmarks met),72.6
