District Name,School Code,School Name,State Board Region,Grade Span,Number of Days Missed Due to Hurricane Helene,Subgroup,Total EL Progress (Exited plus Annual Progress),Percent Exiting EL Status,Percent Meeting Annual Progress Toward Exiting
Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,All English Learners,21.9,10.5,11.4
Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Economically Disadvantaged,15,8.3,6.7
Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Female,26.7,11.7,15
Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Hispanic,20.6,10.8,9.8
Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Male,16.7,9.3,7.4
Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Not Academically or Intellectually Gifted,21.9,10.5,11.4
Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Not Economically Disadvantaged,29.6,13,16.7
Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Not Student with Disabilities,27.5,13.2,14.3
Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Students With Disabilities,<5,<5,<5
Charlotte-Mecklenburg Schools,600306,North Academy of World Languages,Southwest,0K-08,0,All English Learners,53,25.8,27.3
Charlotte-Mecklenburg Schools,600306,North Academy of World Languages,Southwest,0K-08,0,Black,70,40,30
Charlotte-Mecklenburg Schools,600306,North Academy of World Languages,Southwest,0K-08,0,Economically Disadvantaged,55.1,26.5,28.6
Charlotte-Mecklenburg Schools,600306,North Academy of World Languages,Southwest,0K-08,0,Female,54.5,27.3,27.3
Charlotte-Mecklenburg Schools,600306,North Academy of World Languages,Southwest,0K-08,0,Hispanic,48,22,26
Charlotte-Mecklenburg Schools,600306,North Academy of World Languages,Southwest,0K-08,0,Male,51.5,24.2,27.3
Charlotte-Mecklenburg Schools,600306,North Academy of World Languages,Southwest,0K-08,0,Not Academically or Intellectually Gifted,53.1,25,28.1
Charlotte-Mecklenburg Schools,600306,North Academy of World Languages,Southwest,0K-08,0,Not Economically Disadvantaged,47.1,23.5,23.5
Charlotte-Mecklenburg Schools,600306,North Academy of World Languages,Southwest,0K-08,0,Not Student with Disabilities,56.9,27.6,29.3
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,All English Learners,31,20.7,10.3
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Asian,73.3,60,13.3
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Economically Disadvantaged,20.6,11.1,9.5
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Female,33.3,24.4,8.9
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Hispanic,17.6,11.8,5.9
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Male,29.6,18.3,11.3
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Not Academically or Intellectually Gifted,31,20.7,10.3
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Not Economically Disadvantaged,43.4,32.1,11.3
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Not Student with Disabilities,38,25,13
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Students With Disabilities,<5,<5,<5
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,White,71.4,35.7,35.7
Charlotte-Mecklenburg Schools,600313,Bailey Middle,Southwest,06-08,0,All English Learners,40.4,29.3,11.1
Charlotte-Mecklenburg Schools,600313,Bailey Middle,Southwest,06-08,0,Asian,75,50,25
Charlotte-Mecklenburg Schools,600313,Bailey Middle,Southwest,06-08,0,Economically Disadvantaged,25,17.3,7.7
Charlotte-Mecklenburg Schools,600313,Bailey Middle,Southwest,06-08,0,Female,40,31.1,8.9
Charlotte-Mecklenburg Schools,600313,Bailey Middle,Southwest,06-08,0,Hispanic,28.6,20.6,7.9
Charlotte-Mecklenburg Schools,600313,Bailey Middle,Southwest,06-08,0,Male,40.7,27.8,13
Charlotte-Mecklenburg Schools,600313,Bailey Middle,Southwest,06-08,0,Not Academically or Intellectually Gifted,39.2,27.8,11.3
Charlotte-Mecklenburg Schools,600313,Bailey Middle,Southwest,06-08,0,Not Economically Disadvantaged,57.4,42.6,14.9
Charlotte-Mecklenburg Schools,600313,Bailey Middle,Southwest,06-08,0,Not Student with Disabilities,47.6,34.5,13.1
