District Name,School Code,School Name,State Board Region,Grade Span,Number of Days Missed Due to Hurricane Helene,Subgroup,Subject,Not Proficient,Percent Level 3,Percent Level 4,Percent Level 5,Percent Level 3 and Above (GLP),Percent Level 4 and Above (CCR)
Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Academically or Intellectually Gifted,Reading Grade 3-8,10.9,23.9,43.5,21.7,89.1,65.2
Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,All Students,Reading Grade 3-8,65.9,18.3,13,<5,34.1,15.8
Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Asian,Reading Grade 3-8,47.4,5.3,26.3,21.1,52.6,47.4
Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Black,Reading Grade 3-8,63.7,20.8,13.6,<5,36.3,15.5
Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Economically Disadvantaged,Reading Grade 3-8,70.2,18.3,10,<5,29.8,11.6
Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,English Learner,Reading Grade 3-8,93.1,<5,<5,<5,6.9,<5
Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Female,Reading Grade 3-8,65.6,19.7,12.1,<5,34.4,14.6
Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Hispanic,Reading Grade 3-8,73.4,16.6,8.7,<5,26.6,10
Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Homeless,Reading Grade 3-8,90.3,<5,9.7,<5,9.7,9.7
Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Male,Reading Grade 3-8,66.1,17,13.9,<5,33.9,17
Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Two or More Races,Reading Grade 3-8,69.2,7.7,19.2,<5,30.8,23.1
Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Not Academically or Intellectually Gifted,Reading Grade 3-8,69.3,18,11.1,<5,30.7,12.7
Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Not Economically Disadvantaged,Reading Grade 3-8,60.1,18.5,17,<5,39.9,21.4
Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Not English Learner,Reading Grade 3-8,60.4,21.3,15.1,<5,39.6,18.3
Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Not Student with Disabilities,Reading Grade 3-8,61.7,20.5,14.6,<5,38.3,17.8
Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Students With Disabilities,Reading Grade 3-8,94.9,<5,<5,<5,5.1,<5
