reporting_year,lea_code,lea_name,school_code,school_name,sbe_region,grade_span,missed_days,title_1,subgroup,subject,den,total_pct,notprof_pct,lev3_pct,lev4_pct,lev5_pct,glp_pct,ccr_pct
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,ALL,ELP,114,21.9,,,,,,
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,EDS,ELP,60,15,,,,,,
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,ELS,ELP,114,21.9,,,,,,
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,FEM,ELP,60,26.7,,,,,,
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,HISP,ELP,102,20.6,,,,,,
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,MALE,ELP,54,16.7,,,,,,
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,NAIG,ELP,114,21.9,,,,,,
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,NEDS,ELP,54,29.6,,,,,,
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,NSWD,ELP,91,27.5,,,,,,
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,SWD,ELP,23,<5,,,,,,
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,ALL,ELPA,114,11.4,,,,,,
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,EDS,ELPA,60,6.7,,,,,,
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,ELS,ELPA,114,11.4,,,,,,
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,FEM,ELPA,60,15,,,,,,
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,HISP,ELPA,102,9.8,,,,,,
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,MALE,ELPA,54,7.4,,,,,,
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,NAIG,ELPA,114,11.4,,,,,,
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,NEDS,ELPA,54,16.7,,,,,,
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,NSWD,ELPA,91,14.3,,,,,,
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,SWD,ELPA,23,<5,,,,,,
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,ALL,ELPX,114,10.5,,,,,,
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,EDS,ELPX,60,8.3,,,,,,
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,ELS,ELPX,114,10.5,,,,,,
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,FEM,ELPX,60,11.7,,,,,,
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,HISP,ELPX,102,10.8,,,,,,
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,MALE,ELPX,54,9.3,,,,,,
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,NAIG,ELPX,114,10.5,,,,,,
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,NEDS,ELPX,54,13,,,,,,
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,NSWD,ELPX,91,13.2,,,,,,
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,SWD,ELPX,23,<5,,,,,,
2025,600,Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Y,AIG,EOG,109,,13.8,18.3,45,22.9,86.2,67.9
