District Name,School Code,School Name,State Board Region,Grade Span,Number of Days Missed Due to Hurricane Helene,Subgroup,ACT/WorkKeys Assessments Indicator Percent,Passing NC Math 3 Percent,Four-Year Cohort Graduation Rate Percent,Five-Year Cohort Graduation Rate Percent
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Academically or Intellectually Gifted,92.3,>95,>95,>95
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,All Students,70.1,>95,>95,>95
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Asian,88.9,>95,>95,>95
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Black,33.3,91.8,90.9,88
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Economically Disadvantaged,33.7,84.3,89.8,89.6
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,English Learner,11.1,81.5,82.9,89.7
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Female,70.7,>95,>95,>95
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Hispanic,40.3,91.7,91.7,94.9
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Male,69.6,>95,94.9,>95
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Two or More Races,52.4,91.3,>95,90
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Not Academically or Intellectually Gifted,62.7,94.3,94.5,94.3
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Not Economically Disadvantaged,78,>95,>95,>95
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Not English Learner,72.1,>95,>95,>95
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Not Student with Disabilities,72.4,>95,>95,>95
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Students With Disabilities,9.5,60.6,73,75
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,White,82.6,>95,>95,>95
Charlotte-Mecklenburg Schools,600415,Hopewell High School,Southwest,09-12,0,Academically or Intellectually Gifted,94.9,>95,>95,>95
Charlotte-Mecklenburg Schools,600415,Hopewell High School,Southwest,09-12,0,All Students,46.3,>95,88.9,79.9
Charlotte-Mecklenburg Schools,600415,Hopewell High School,Southwest,09-12,0,Asian,62.5,>95,94.1,57.1
Charlotte-Mecklenburg Schools,600415,Hopewell High School,Southwest,09-12,0,Black,33.7,>95,90,83.5
Charlotte-Mecklenburg Schools,600415,Hopewell High School,Southwest,09-12,0,Economically Disadvantaged,34.9,>95,87.9,78.4
Charlotte-Mecklenburg Schools,600415,Hopewell High School,Southwest,09-12,0,English Learner,<5,>95,72.7,68
Charlotte-Mecklenburg Schools,600415,Hopewell High School,Southwest,09-12,0,Female,47.7,>95,88.3,82.7
Charlotte-Mecklenburg Schools,600415,Hopewell High School,Southwest,09-12,0,Hispanic,33.8,>95,82.2,73.5
Charlotte-Mecklenburg Schools,600415,Hopewell High School,Southwest,09-12,0,Homeless,*,*,>95,80
Charlotte-Mecklenburg Schools,600415,Hopewell High School,Southwest,09-12,0,Male,44.7,>95,89.6,77.3
Charlotte-Mecklenburg Schools,600415,Hopewell High School,Southwest,09-12,0,Two or More Races,59.1,92,>95,85
Charlotte-Mecklenburg Schools,600415,Hopewell High School,Southwest,09-12,0,Not Academically or Intellectually Gifted,37.5,>95,87.3,78.1
Charlotte-Mecklenburg Schools,600415,Hopewell High School,Southwest,09-12,0,Not Economically Disadvantaged,53.1,>95,89.6,81.2
Charlotte-Mecklenburg Schools,600415,Hopewell High School,Southwest,09-12,0,Not English Learner,51.4,>95,91,81.3
Charlotte-Mecklenburg Schools,600415,Hopewell High School,Southwest,09-12,0,Not Student with Disabilities,48.9,>95,90.2,83
Charlotte-Mecklenburg Schools,600415,Hopewell High School,Southwest,09-12,0,Students With Disabilities,11.1,83.3,78,59.7
Charlotte-Mecklenburg Schools,600415,Hopewell High School,Southwest,09-12,0,White,76.4,>95,91.2,81.6
Charlotte-Mecklenburg Schools,600480,North Mecklenburg High School,Southwest,09-12,0,Academically or Intellectually Gifted,85.3,>95,>95,>95
Charlotte-Mecklenburg Schools,600480,North Mecklenburg High School,Southwest,09-12,0,All Students,41.9,>95,87.5,87.9
Charlotte-Mecklenburg Schools,600480,North Mecklenburg High School,Southwest,09-12,0,Asian,*,>95,>95,94.7
Charlotte-Mecklenburg Schools,600480,North Mecklenburg High School,Southwest,09-12,0,Black,38.3,>95,89.5,92.6
Charlotte-Mecklenburg Schools,600480,North Mecklenburg High School,Southwest,09-12,0,Economically Disadvantaged,35.4,94.7,85.3,84.2
