District Name,School Code,School Name,State Board Region,Grade Span,Number of Days Missed Due to Hurricane Helene,Subgroup,School Growth Type,School Growth Status,School Growth Index Score
Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Academically or Intellectually Gifted,Overall,Met,-1.16
Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,All Students,Overall,Not Met,-5.97
Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,All Students,Reading,Not Met,-2.05
Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,All Students,Mathematics,Not Met,-3.43
Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Black,Overall,Not Met,-6.02
Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Economically Disadvantaged,Overall,Not Met,-5.07
Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,English Learner,Overall,Met,-0.44
Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Hispanic,Overall,Met,-1.22
Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Homeless,Overall,Met,1.17
Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Two or More Races,Overall,Met,-0.59
Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,Students With Disabilities,Overall,Met,0.18
Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,0,White,Overall,Met,-1.38
Charlotte-Mecklenburg Schools,600306,North Academy of World Languages,Southwest,0K-08,0,Academically or Intellectually Gifted,Overall,Met,0.76
Charlotte-Mecklenburg Schools,600306,North Academy of World Languages,Southwest,0K-08,0,All Students,Overall,Exceeded,5.35
Charlotte-Mecklenburg Schools,600306,North Academy of World Languages,Southwest,0K-08,0,All Students,Reading,Exceeded,2.33
Charlotte-Mecklenburg Schools,600306,North Academy of World Languages,Southwest,0K-08,0,All Students,Mathematics,Exceeded,3.48
