District Name,School Code,School Name,State Board Region,Grade Span,Number of Days Missed Due to Hurricane Helene,Subgroup,Percent Silver or Higher
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Academically or Intellectually Gifted,93
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,All Students,83.3
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Asian,81.8
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Black,63.2
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Economically Disadvantaged,75
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Female,81.8
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Hispanic,76.5
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Male,84.2
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Not Academically or Intellectually Gifted,78.6
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Not Economically Disadvantaged,84.2
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Not English Learner,84
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,Not Student with Disabilities,84.5
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,Southwest,09-12,0,White,87.5
Charlotte-Mecklenburg Schools,600415,Hopewell High School,Southwest,09-12,0,Academically or Intellectually Gifted,>95
Charlotte-Mecklenburg Schools,600415,Hopewell High School,Southwest,09-12,0,All Students,61.1
Charlotte-Mecklenburg Schools,600415,Hopewell High School,Southwest,09-12,0,Black,46
Charlotte-Mecklenburg Schools,600415,Hopewell High School,Southwest,09-12,0,Economically Disadvantaged,51.9
Charlotte-Mecklenburg Schools,600415,Hopewell High School,Southwest,09-12,0,English Learner,<5
Charlotte-Mecklenburg Schools,600415,Hopewell High School,Southwest,09-12,0,Female,60.2
Charlotte-Mecklenburg Schools,600415,Hopewell High School,Southwest,09-12,0,Hispanic,63.6
Charlotte-Mecklenburg Schools,600415,Hopewell High School,Southwest,09-12,0,Male,62
Charlotte-Mecklenburg Schools,600415,Hopewell High School,Southwest,09-12,0,Two or More Races,80
Charlotte-Mecklenburg Schools,600415,Hopewell High School,Southwest,09-12,0,Not Academically or Intellectually Gifted,54.3
Charlotte-Mecklenburg Schools,600415,Hopewell High School,Southwest,09-12,0,Not Economically Disadvantaged,67.2
Charlotte-Mecklenburg Schools,600415,Hopewell High School,Southwest,09-12,0,Not English Learner,64.8
Charlotte-Mecklenburg Schools,600415,Hopewell High School,Southwest,09-12,0,Not Student with Disabilities,63.9
Charlotte-Mecklenburg Schools,600415,Hopewell High School,Southwest,09-12,0,Students With Disabilities,23.1
Charlotte-Mecklenburg Schools,600415,Hopewell High School,Southwest,09-12,0,White,90
Charlotte-Mecklenburg Schools,600480,North Mecklenburg High School,Southwest,09-12,0,Academically or Intellectually Gifted,80
Charlotte-Mecklenburg Schools,600480,North Mecklenburg High School,Southwest,09-12,0,All Students,47.6
Charlotte-Mecklenburg Schools,600480,North Mecklenburg High School,Southwest,09-12,0,Black,42.9
Charlotte-Mecklenburg Schools,600480,North Mecklenburg High School,Southwest,09-12,0,Economically Disadvantaged,39.3
Charlotte-Mecklenburg Schools,600480,North Mecklenburg High School,Southwest,09-12,0,Female,51.3
Charlotte-Mecklenburg Schools,600480,North Mecklenburg High School,Southwest,09-12,0,Hispanic,51.4
Charlotte-Mecklenburg Schools,600480,North Mecklenburg High School,Southwest,09-12,0,Male,43.5
Charlotte-Mecklenburg Schools,600480,North Mecklenburg High School,Southwest,09-12,0,Not Academically or Intellectually Gifted,45.2
Charlotte-Mecklenburg Schools,600480,North Mecklenburg High School,Southwest,09-12,0,Not Economically Disadvantaged,53.6
Charlotte-Mecklenburg Schools,600480,North Mecklenburg High School,Southwest,09-12,0,Not English Learner,47.9
Charlotte-Mecklenburg Schools,600480,North Mecklenburg High School,Southwest,09-12,0,Not Student with Disabilities,48.2
